filename,household,row_count,column_count,columns,first_timestamp,last_timestamp,duration_days,min_unix,max_unix
CLEAN_House1.csv,1,6960008,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2013-10-09 13:06:17,2015-07-10 11:56:32,638.95,1381323977,1436529392
CLEAN_House2.csv,2,5733526,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2013-09-17 22:08:11,2015-05-28 08:05:43,617.41,1379455691,1432800343
CLEAN_House3.csv,3,6994594,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2013-09-25 19:21:09,2015-06-02 10:55:42,614.65,1380136869,1433242542
CLEAN_House4.csv,4,6760511,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2013-10-11 10:19:17,2015-07-07 09:57:38,633.98,1381486757,1436263058
CLEAN_House5.csv,5,7430755,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2013-09-26 09:56:09,2015-07-06 17:48:55,648.33,1380189369,1436204935
CLEAN_House6.csv,6,6241971,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2013-11-28 12:15:35,2015-06-28 22:14:45,577.42,1385640935,1435529685
CLEAN_House7.csv,7,6756034,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2013-11-01 22:01:18,2015-07-08 02:10:54,613.17,1383343278,1436321454
CLEAN_House8.csv,8,6118469,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2013-11-01 22:13:18,2015-05-10 23:36:10,555.06,1383343998,1431300970
CLEAN_House9.csv,9,6169525,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2013-12-17 17:26:20,2015-07-08 18:52:50,568.06,1387301180,1436381570
CLEAN_House10.csv,10,6739284,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2013-11-20 11:31:18,2015-06-30 11:07:07,586.98,1384947078,1435662427
CLEAN_House11.csv,11,4431541,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2014-06-03 11:36:21,2015-06-30 15:12:08,392.15,1401795381,1435677128
CLEAN_House12.csv,12,5859544,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2014-03-07 10:52:15,2015-07-08 02:10:54,487.64,1394189535,1436321454
CLEAN_House13.csv,13,4737371,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2014-01-17 22:26:20,2015-05-31 11:06:07,498.53,1389997580,1433070367
CLEAN_House15.csv,15,6225696,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2013-12-17 17:24:18,2015-07-08 02:10:54,567.37,1387301058,1436321454
CLEAN_House16.csv,16,5722544,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2014-01-10 10:58:19,2015-07-08 02:10:54,543.63,1389351499,1436321454
CLEAN_House17.csv,17,5431577,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2014-03-06 16:23:19,2015-06-19 14:52:18,469.94,1394122999,1434725538
CLEAN_House18.csv,18,5007721,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2014-03-07 10:33:18,2015-05-24 11:34:04,443.04,1394188398,1432467244
CLEAN_House19.csv,19,5622610,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2014-03-06 16:23:19,2015-06-20 03:32:54,470.46,1394122999,1434771174
CLEAN_House20.csv,20,5168605,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2014-03-20 12:01:19,2015-06-23 19:44:00,460.32,1395316879,1435088640
CLEAN_House21.csv,21,5383993,13,"Time, Unix, Aggregate, Appliance1..9, Issues",2014-03-07 16:20:20,2015-07-10 11:56:35,489.82,1394209220,1436529395
